Repeat,VAR2,Point,SMU1 Voltage,SMU1 Current,SMU1 Time
1,1,405,1.26329E+000,906.00000E-012,15.37904E+000
1,1,406,1.26642E+000,-234.00000E-012,15.42077E+000
1,1,407,1.26954E+000,115.00000E-012,15.44463E+000
1,1,408,1.27267E+000,-695.00000E-012,15.48795E+000
1,1,409,1.27580E+000,-447.00000E-012,15.53126E+000
1,1,410,1.27892E+000,364.00000E-012,15.55515E+000
1,1,411,1.28205E+000,265.00000E-012,15.61878E+000
1,1,412,1.28518E+000,61.00000E-012,15.66168E+000
1,1,413,1.28831E+000,152.00000E-012,15.68561E+000
1,1,414,1.29143E+000,-523.00000E-012,15.72731E+000
1,1,415,1.29456E+000,-2.11800E-009,15.76959E+000
1,1,416,1.29769E+000,-488.00000E-012,15.81143E+000
1,1,417,1.30081E+000,318.00000E-012,15.83527E+000
1,1,418,1.30394E+000,433.00000E-012,15.87897E+000
1,1,419,1.30707E+000,-129.00000E-012,15.92069E+000
1,1,420,1.31019E+000,68.00000E-012,15.94462E+000
1,1,421,1.31332E+000,-556.00000E-012,15.98807E+000
1,1,422,1.31645E+000,-719.00000E-012,16.03072E+000
1,1,423,1.31957E+000,311.00000E-012,16.05459E+000
1,1,424,1.32270E+000,920.00000E-012,16.11956E+000
1,1,425,1.32583E+000,-55.00000E-012,16.14349E+000
1,1,426,1.32896E+000,-653.00000E-012,16.18736E+000
1,1,427,1.33208E+000,-2.17400E-009,16.22960E+000
1,1,428,1.33521E+000,-452.00000E-012,16.27152E+000
1,1,429,1.33834E+000,-829.00000E-012,16.29581E+000
1,1,430,1.34146E+000,57.00000E-012,16.33866E+000
1,1,431,1.34459E+000,-541.00000E-012,16.38054E+000
1,1,432,1.34772E+000,104.00000E-012,16.40442E+000
1,1,433,1.35084E+000,-533.00000E-012,16.44813E+000
1,1,434,1.35397E+000,-842.00000E-012,16.49073E+000
1,1,435,1.35710E+000,830.00000E-012,16.51460E+000
1,1,436,1.36023E+000,140.00000E-012,16.55902E+000
1,1,437,1.36335E+000,-797.00000E-012,16.60738E+000
1,1,438,1.36648E+000,-783.00000E-012,16.66816E+000
1,1,439,1.36961E+000,-554.00000E-012,16.71073E+000
1,1,440,1.37273E+000,624.00000E-012,16.73460E+000
1,1,441,1.37586E+000,-520.00000E-012,16.77875E+000
1,1,442,1.37899E+000,-517.00000E-012,16.82124E+000
1,1,443,1.38211E+000,175.00000E-012,16.84508E+000
1,1,444,1.38524E+000,-621.00000E-012,16.88731E+000
1,1,445,1.38837E+000,-2.10700E-009,16.92958E+000
1,1,446,1.39149E+000,-440.00000E-012,16.97114E+000
1,1,447,1.39462E+000,-522.00000E-012,16.99499E+000
1,1,448,1.39775E+000,-404.00000E-012,17.03854E+000
1,1,449,1.40088E+000,-1.41900E-009,17.08041E+000
1,1,450,1.40400E+000,200.00000E-012,17.10428E+000
